"domanda","risposta_attesa"
"Come fare chiusura bilancio?","Accedere al modulo Contabilità, selezionare la voce 'Chiusure Annuali', verificare i saldi e avviare il wizard di generazione bilancio."
"Come registrare prima nota?","Aprire la gestione Prima Nota, inserire data registrazione, causale contabile, conti dare/avere con i relativi importi e salvare."
"Come annullare registrazione?","Ricercare la registrazione nell'elenco contabile, selezionarla e utilizzare la funzione 'Annulla' o 'Elimina' presente nella barra degli strumenti."
"Quali sono le funzionalità del programma?","Il software include contabilità generale, gestione IVA, fatturazione elettronica (ciclo attivo/passivo), magazzino e adempimenti fiscali."
"Come registrare fatture d'acquisto?","Entrare nel modulo Ciclo Passivo, selezionare 'Fatture Ricevute', caricare il file XML dalla cartella di importazione e confermare la registrazione."
"Come posso impostare il modello come predefinito?","All'interno delle impostazioni dei modelli, individuare il modello desiderato e cliccare sull'icona della stella per renderlo predefinito."
"Come importare le fatture di acquisto?","Utilizzare il comando 'Importa file XML' nel pannello Documenti Ricevuti, selezionando i file scaricati dal Sistema di Interscambio."
"Come posso verificare lo stato dell'elaborazione del bilancio?","Consultare la sezione 'Monitoraggio Processi' nella dashboard o il log delle elaborazioni sotto il modulo Chiusure."
"Come posso contattare il supporto tecnico?","Accedere all'area riservata e aprire un ticket tramite il tasto 'Assistenza' o chiamare il numero verde nelle ore di ufficio."
"Come posso vedere le partite aperte?","Consultare lo Scadenzario Clienti/Fornitori applicando il filtro sullo stato del pagamento impostato su 'Aperto' o 'Non Saldato'."
