domanda,risposta_attesa,risposta_agente,metodo_valutazione,score,spiegazione
Come fare chiusura bilancio?,"Accedere al modulo Contabilità, selezionare la voce 'Chiusure Annuali', verificare i saldi e avviare il wizard di generazione bilancio.","Accedere al modulo Contabilità, selezionare la voce 'Chiusure Annuali', verificare i saldi e avviare il wizard di generazione bilancio.",EXACT_MATCH,5,Exact match found.
Come registrare prima nota?,"Aprire la gestione Prima Nota, inserire data registrazione, causale contabile, conti dare/avere con i relativi importi e salvare.","Devi aprire la gestione della Prima Nota, inserire la data, la causale e i relativi importi nei conti dare e avere, infine salva tutto.",SEMANTIC_SIMILARITY,5,High semantic similarity.
Come annullare registrazione?,"Ricercare la registrazione nell'elenco contabile, selezionarla e utilizzare la funzione 'Annulla' o 'Elimina' presente nella barra degli strumenti.","Ricercare la registrazione nell'elenco contabile, selezionarla e utilizzare la funzione 'Conferma' presente nella barra degli strumenti.",LLM_JUDGE,2,"The agent's response provides the initial correct steps but suggests using the 'Conferma' (Confirm) function instead of 'Annulla' (Cancel) or 'Elimina' (Delete), which is a critical inaccuracy that contradicts the user's intent to cancel the registration."
Quali sono le funzionalità del programma?,"Il software include contabilità generale, gestione IVA, fatturazione elettronica (ciclo attivo/passivo), magazzino e adempimenti fiscali.",Il programma serve principalmente per la gestione delle risorse umane e il calcolo delle buste paga dei dipendenti.,LLM_JUDGE,1,"The agent's response describes entirely different functionalities (human resources and payroll) compared to the ground truth (accounting, VAT, invoicing, warehouse, tax compliance). It is completely incorrect."
Come registrare fatture d'acquisto?,"Entrare nel modulo Ciclo Passivo, selezionare 'Fatture Ricevute', caricare il file XML dalla cartella di importazione e confermare la registrazione.","Entrare nel modulo Ciclo Passivo, selezionare 'Fatture Ricevute', caricare il file XML dalla cartella di importazione e confermare la registrazione.",EXACT_MATCH,5,Exact match found.
Come posso impostare il modello come predefinito?,"All'interno delle impostazioni dei modelli, individuare il modello desiderato e cliccare sull'icona della stella per renderlo predefinito.",Individuare il modello all'interno del database delle configurazioni e utilizzare il cursore per attivare l'icona a forma di astro luminoso per la selezione primaria.,LLM_JUDGE,3,"The agent's response provides a similar mechanism but uses less accurate and more verbose terminology. It refers to a 'configuration database' instead of 'model settings' and 'primary selection' instead of 'default,' which are noticeable inaccuracies. The phrasing for the action is also less direct."
Come importare le fatture di acquisto?,"Utilizzare il comando 'Importa file XML' nel pannello Documenti Ricevuti, selezionando i file scaricati dal Sistema di Interscambio.","Utilizzare il comando 'Esporta in PDF' nel pannello Documenti Ricevuti, selezionando i file scaricati dal Sistema di Interscambio.",LLM_JUDGE,1,"The agent's response is incorrect regarding the command to use. It suggests 'Esporta in PDF' (Export to PDF) instead of 'Importa file XML' (Import XML file), which is the opposite of what is needed to import invoices."
Come posso verificare lo stato dell'elaborazione del bilancio?,Consultare la sezione 'Monitoraggio Processi' nella dashboard o il log delle elaborazioni sotto il modulo Chiusure.,"Il sistema non permette di verificare lo stato, bisogna attendere l'email di conferma automatica.",LLM_JUDGE,1,"The agent's response is completely incorrect. The ground truth states there are specific ways to check the processing status, while the agent claims it's not possible and suggests waiting for an email, which directly contradicts the factual information provided."
Come posso contattare il supporto tecnico?,Accedere all'area riservata e aprire un ticket tramite il tasto 'Assistenza' o chiamare il numero verde nelle ore di ufficio.,Accedere all'area riservata e aprire un ticket tramite il tasto 'Assistenza' o chiamare il numero verde nelle ore di ufficio.,EXACT_MATCH,5,Exact match found.
Come posso vedere le partite aperte?,Consultare lo Scadenzario Clienti/Fornitori applicando il filtro sullo stato del pagamento impostato su 'Aperto' o 'Non Saldato'.,Vai nello Scadenzario e metti il filtro su 'Pagato' per vedere tutte le scadenze aperte.,LLM_JUDGE,2,"The agent correctly identifies the 'Scadenzario' but provides the exact opposite instruction for the filter. It suggests filtering by 'Pagato' (Paid) to see open items, which would actually show closed items. The ground truth correctly states to filter by 'Aperto' (Open) or 'Non Saldato' (Unpaid)."
